sample,study,cohort,MGMT_mRNA
TCGA-B0-5094-01,KIRC,non-glioma,10.066
TCGA-B8-5162-01,KIRC,non-glioma,9.5804
TCGA-CJ-5678-01,KIRC,non-glioma,11.1708
TCGA-CZ-5457-01,KIRC,non-glioma,9.8168
TCGA-B0-4706-01,KIRC,non-glioma,10.7926
TCGA-B2-A4SR-01,KIRC,non-glioma,9.7644
TCGA-BP-5190-01,KIRC,non-glioma,10.4965
TCGA-CJ-4902-01,KIRC,non-glioma,10.2353
TCGA-CJ-4912-01,KIRC,non-glioma,10.5792
TCGA-CJ-5684-01,KIRC,non-glioma,10.3767
TCGA-CW-6087-01,KIRC,non-glioma,8.8328
TCGA-CZ-5986-01,KIRC,non-glioma,9.1223
TCGA-B0-4700-01,KIRC,non-glioma,9.9301
TCGA-B8-A54J-01,KIRC,non-glioma,10.5498
TCGA-BP-5175-01,KIRC,non-glioma,11.7104
TCGA-BP-5189-01,KIRC,non-glioma,10.1375
TCGA-CJ-5682-01,KIRC,non-glioma,10.0224
TCGA-CZ-5987-01,KIRC,non-glioma,10.2251
TCGA-CZ-5989-01,KIRC,non-glioma,5.5817
TCGA-B4-5834-01,KIRC,non-glioma,10.1285
TCGA-BP-5192-01,KIRC,non-glioma,10.2719
TCGA-DV-5565-01,KIRC,non-glioma,9.8739
TCGA-DV-A4VX-01,KIRC,non-glioma,10.8896
TCGA-AK-3440-01,KIRC,non-glioma,9.4776
TCGA-BP-4993-01,KIRC,non-glioma,10.5914
TCGA-CJ-4907-01,KIRC,non-glioma,9.1889
TCGA-CJ-6028-01,KIRC,non-glioma,8.5663
TCGA-CZ-5985-01,KIRC,non-glioma,10.0342
TCGA-B0-5710-01,KIRC,non-glioma,10.0229
TCGA-BP-4801-01,KIRC,non-glioma,10.1601
TCGA-BP-5183-01,KIRC,non-glioma,10.2912
TCGA-CJ-4882-01,KIRC,non-glioma,10.4569
TCGA-CZ-5456-01,KIRC,non-glioma,8.7468
TCGA-B0-5121-01,KIRC,non-glioma,10.4715
TCGA-B8-5158-01,KIRC,non-glioma,9.3497
TCGA-BP-5182-01,KIRC,non-glioma,10.2164
TCGA-BP-5185-01,KIRC,non-glioma,11.0014
TCGA-CW-5591-01,KIRC,non-glioma,9.9115
TCGA-BP-5170-01,KIRC,non-glioma,10.2593
TCGA-CZ-5460-01,KIRC,non-glioma,10.4109
TCGA-DV-A4W0-01,KIRC,non-glioma,9.8728
TCGA-EU-5906-01,KIRC,non-glioma,9.6982
TCGA-G6-A8L6-01,KIRC,non-glioma,11.3434
TCGA-B0-5108-01,KIRC,non-glioma,9.7663
TCGA-BP-5184-01,KIRC,non-glioma,10.3346
TCGA-BP-5187-01,KIRC,non-glioma,10.6349
TCGA-CJ-6031-01,KIRC,non-glioma,10.4745
TCGA-B0-5699-01,KIRC,non-glioma,9.633
TCGA-B0-5812-01,KIRC,non-glioma,10.0009
TCGA-B8-5549-01,KIRC,non-glioma,9.246
TCGA-BP-5180-01,KIRC,non-glioma,8.968
TCGA-BP-5196-01,KIRC,non-glioma,9.6517
TCGA-DV-A4VZ-01,KIRC,non-glioma,10.3649
TCGA-B0-5116-01,KIRC,non-glioma,10.1091
TCGA-B2-4101-01,KIRC,non-glioma,10.0587
TCGA-B4-5838-01,KIRC,non-glioma,7.9525
TCGA-CZ-5461-01,KIRC,non-glioma,9.8408
TCGA-A3-3376-01,KIRC,non-glioma,9.1272
TCGA-CJ-5671-01,KIRC,non-glioma,10.0785
TCGA-CW-5585-01,KIRC,non-glioma,10.4804
TCGA-CZ-5984-01,KIRC,non-glioma,10.0989
TCGA-B0-5697-01,KIRC,non-glioma,10.3781
TCGA-B0-5711-01,KIRC,non-glioma,9.7839
TCGA-B8-A54G-01,KIRC,non-glioma,10.2761
TCGA-CJ-4903-01,KIRC,non-glioma,9.3799
TCGA-A3-3387-01,KIRC,non-glioma,10.1431
TCGA-B0-4816-01,KIRC,non-glioma,10.0882
TCGA-CJ-4869-01,KIRC,non-glioma,10.7258
TCGA-AK-3458-01,KIRC,non-glioma,11.0477
TCGA-B0-4811-01,KIRC,non-glioma,9.2887
TCGA-B8-A54I-01,KIRC,non-glioma,11.0637
TCGA-A3-A6NI-01,KIRC,non-glioma,10.6594
TCGA-B0-4810-01,KIRC,non-glioma,10.0593
TCGA-CJ-4901-01,KIRC,non-glioma,9.5943
TCGA-CJ-5676-01,KIRC,non-glioma,9.8929
TCGA-B0-5399-01,KIRC,non-glioma,10.5244
TCGA-B2-5639-01,KIRC,non-glioma,10.2073
TCGA-B0-5706-01,KIRC,non-glioma,8.8887
TCGA-B4-5843-01,KIRC,non-glioma,9.9891
TCGA-BP-5200-01,KIRC,non-glioma,9.5929
TCGA-CW-5581-01,KIRC,non-glioma,10.1445
TCGA-B0-5115-01,KIRC,non-glioma,9.8988
TCGA-B8-5165-01,KIRC,non-glioma,9.7294
TCGA-CZ-5458-01,KIRC,non-glioma,9.9423
TCGA-B8-5545-01,KIRC,non-glioma,9.5082
TCGA-CZ-5469-01,KIRC,non-glioma,11.2591
TCGA-MM-A563-01,KIRC,non-glioma,10.4251
TCGA-B0-5117-01,KIRC,non-glioma,9.5911
TCGA-BP-5194-01,KIRC,non-glioma,10.3198
TCGA-CJ-4908-01,KIRC,non-glioma,9.8528
TCGA-CZ-5988-01,KIRC,non-glioma,9.6724
TCGA-A3-A8OW-01,KIRC,non-glioma,9.7566
TCGA-CW-6097-01,KIRC,non-glioma,9.3883
TCGA-B0-5104-01,KIRC,non-glioma,9.9098
TCGA-B0-5099-01,KIRC,non-glioma,9.6115
TCGA-CZ-5467-01,KIRC,non-glioma,10.3347
TCGA-G6-A8L7-01,KIRC,non-glioma,11.8683
TCGA-CZ-4866-01,KIRC,non-glioma,10.0488
TCGA-B0-4852-01,KIRC,non-glioma,9.5219
TCGA-BP-5176-01,KIRC,non-glioma,10.5342
TCGA-B0-4827-01,KIRC,non-glioma,9.6818
TCGA-CZ-5465-01,KIRC,non-glioma,8.9044
TCGA-GK-A6C7-01,KIRC,non-glioma,9.8338
TCGA-B0-4710-01,KIRC,non-glioma,9.9332
TCGA-B0-4945-01,KIRC,non-glioma,9.818
TCGA-B0-5713-01,KIRC,non-glioma,9.6173
TCGA-A3-A8OU-01,KIRC,non-glioma,9.7623
TCGA-B0-5102-01,KIRC,non-glioma,10.4014
TCGA-BP-4795-01,KIRC,non-glioma,9.6066
TCGA-B0-4842-01,KIRC,non-glioma,10.99
TCGA-BP-4770-01,KIRC,non-glioma,9.4847
TCGA-CW-5580-01,KIRC,non-glioma,9.5513
TCGA-B0-5096-01,KIRC,non-glioma,9.5455
TCGA-B0-5120-01,KIRC,non-glioma,10.4141
TCGA-CZ-5470-01,KIRC,non-glioma,10.054
TCGA-MW-A4EC-01,KIRC,non-glioma,10.4246
TCGA-B0-5110-01,KIRC,non-glioma,9.3371
TCGA-B0-5113-01,KIRC,non-glioma,9.0814
TCGA-B8-A54H-01,KIRC,non-glioma,9.9133
TCGA-CJ-4916-01,KIRC,non-glioma,9.7764
TCGA-6D-AA2E-01,KIRC,non-glioma,10.0384
TCGA-B0-4818-01,KIRC,non-glioma,9.8345
TCGA-B0-4821-01,KIRC,non-glioma,11.7184
TCGA-B0-5712-01,KIRC,non-glioma,9.9215
TCGA-B4-5377-01,KIRC,non-glioma,10.2938
TCGA-B8-5553-01,KIRC,non-glioma,10.1486
TCGA-DV-5566-01,KIRC,non-glioma,9.7588
TCGA-EU-5905-01,KIRC,non-glioma,10.7826
TCGA-B0-5691-01,KIRC,non-glioma,9.5098
TCGA-B0-5692-01,KIRC,non-glioma,11.1307
TCGA-A3-A8OX-01,KIRC,non-glioma,9.6876
TCGA-B0-5107-01,KIRC,non-glioma,10.9892
TCGA-B0-5705-01,KIRC,non-glioma,9.9176
TCGA-B8-5551-01,KIRC,non-glioma,9.5609
TCGA-CJ-5680-01,KIRC,non-glioma,9.9599
TCGA-B4-5835-01,KIRC,non-glioma,9.2767
TCGA-CJ-4920-01,KIRC,non-glioma,8.9664
TCGA-B8-5163-01,KIRC,non-glioma,10.0316
TCGA-CJ-4923-01,KIRC,non-glioma,9.8557
TCGA-CJ-6032-01,KIRC,non-glioma,9.1721
TCGA-B0-5709-01,KIRC,non-glioma,9.2284
TCGA-B8-A54E-01,KIRC,non-glioma,9.7568
TCGA-CJ-4905-01,KIRC,non-glioma,10.0757
TCGA-CW-5587-01,KIRC,non-glioma,9.5449
TCGA-CZ-4856-01,KIRC,non-glioma,10.0896
TCGA-G6-A8L8-01,KIRC,non-glioma,10.8581
TCGA-B0-5119-01,KIRC,non-glioma,10.0317
TCGA-B0-5695-01,KIRC,non-glioma,10.5537
TCGA-B4-5836-01,KIRC,non-glioma,9.2683
TCGA-B4-5844-01,KIRC,non-glioma,9.6232
TCGA-B8-5159-01,KIRC,non-glioma,10.1581
TCGA-B8-A8YJ-01,KIRC,non-glioma,9.4082
TCGA-CJ-4904-01,KIRC,non-glioma,9.6435
TCGA-A3-A8CQ-01,KIRC,non-glioma,9.7822
TCGA-B0-5097-01,KIRC,non-glioma,9.6433
TCGA-B0-5400-01,KIRC,non-glioma,10.8146
TCGA-CJ-5686-01,KIRC,non-glioma,10.0683
TCGA-CZ-4859-01,KIRC,non-glioma,10.1053
TCGA-CZ-5982-01,KIRC,non-glioma,8.2274
TCGA-AK-3453-01,KIRC,non-glioma,10.6342968589
TCGA-MM-A84U-01,KIRC,non-glioma,10.9392
TCGA-A3-3358-01,KIRC,non-glioma,10.1376
TCGA-A3-A6NJ-01,KIRC,non-glioma,9.8714
TCGA-BP-4782-01,KIRC,non-glioma,9.7811
TCGA-A3-3373-01,KIRC,non-glioma,9.5586
TCGA-B8-A7U6-01,KIRC,non-glioma,10.2924
TCGA-CJ-5677-01,KIRC,non-glioma,10.8315
TCGA-CJ-6033-01,KIRC,non-glioma,10.4301
TCGA-G6-A5PC-01,KIRC,non-glioma,12.2719
TCGA-B0-5092-01,KIRC,non-glioma,9.8798
TCGA-B0-5098-01,KIRC,non-glioma,11.0355
TCGA-B0-5690-01,KIRC,non-glioma,10.3162
TCGA-CW-5583-01,KIRC,non-glioma,9.0838
TCGA-CZ-4863-01,KIRC,non-glioma,9.5273
TCGA-BP-5186-01,KIRC,non-glioma,10.2685
TCGA-B8-A54F-01,KIRC,non-glioma,9.6216
TCGA-A3-3370-01,KIRC,non-glioma,9.6925
TCGA-B0-5693-01,KIRC,non-glioma,10.3803
TCGA-EU-5904-01,KIRC,non-glioma,9.8729
TCGA-T7-A92I-01,KIRC,non-glioma,9.8987
TCGA-A3-3385-01,KIRC,non-glioma,9.9988
TCGA-BP-5177-01,KIRC,non-glioma,10.6019
TCGA-BP-5174-01,KIRC,non-glioma,10.7957
TCGA-CJ-5681-01,KIRC,non-glioma,10.0129
TCGA-B8-4146-01,KIRC,non-glioma,7.5038
TCGA-B8-5552-01,KIRC,non-glioma,9.4262
TCGA-DV-5567-01,KIRC,non-glioma,9.7903
TCGA-B8-5546-01,KIRC,non-glioma,10.1021
TCGA-KO-8404-01,KICH,non-glioma,10.0548
TCGA-KL-8345-01,KICH,non-glioma,9.1569
TCGA-KL-8343-01,KICH,non-glioma,8.4954
TCGA-KN-8428-01,KICH,non-glioma,8.4586
TCGA-KL-8326-01,KICH,non-glioma,10.1263
TCGA-KL-8333-01,KICH,non-glioma,9.151
TCGA-KO-8409-01,KICH,non-glioma,10.2335
TCGA-KL-8335-01,KICH,non-glioma,8.4226
TCGA-KL-8339-01,KICH,non-glioma,4.6047
TCGA-KM-8639-01,KICH,non-glioma,8.6133
TCGA-KL-8346-01,KICH,non-glioma,8.7385
TCGA-KN-8436-01,KICH,non-glioma,9.3691
TCGA-KL-8328-01,KICH,non-glioma,10.1394
TCGA-KN-8435-01,KICH,non-glioma,8.7276
TCGA-KO-8411-01,KICH,non-glioma,9.5881
TCGA-KM-8443-01,KICH,non-glioma,9.6341
TCGA-KM-8477-01,KICH,non-glioma,9.2791
TCGA-KL-8332-01,KICH,non-glioma,8.5744
TCGA-KN-8427-01,KICH,non-glioma,11.06
TCGA-KN-8425-01,KICH,non-glioma,9.6061
TCGA-KL-8338-01,KICH,non-glioma,9.8531
TCGA-KL-8344-01,KICH,non-glioma,10.0537
TCGA-KN-8426-01,KICH,non-glioma,8.7712
TCGA-KO-8403-01,KICH,non-glioma,9.7308
TCGA-KM-8476-01,KICH,non-glioma,9.6723
TCGA-KO-8408-01,KICH,non-glioma,8.5494
TCGA-KO-8413-01,KICH,non-glioma,10.0398
TCGA-KN-8423-01,KICH,non-glioma,9.1577
TCGA-KN-8419-01,KICH,non-glioma,9.4564
TCGA-KO-8407-01,KICH,non-glioma,9.3846
TCGA-KL-8341-01,KICH,non-glioma,9.4227
TCGA-KO-8416-01,KICH,non-glioma,9.9991
TCGA-KM-8442-01,KICH,non-glioma,8.4617
TCGA-KM-8440-01,KICH,non-glioma,8.0369
TCGA-KL-8340-01,KICH,non-glioma,9.195
TCGA-KM-8439-01,KICH,non-glioma,9.7891
TCGA-KO-8405-01,KICH,non-glioma,10.0748
TCGA-KL-8337-01,KICH,non-glioma,9.0748
TCGA-KN-8432-01,KICH,non-glioma,9.0283
TCGA-KO-8410-01,KICH,non-glioma,9.1817
TCGA-KL-8324-01,KICH,non-glioma,10.6444
TCGA-KN-8434-01,KICH,non-glioma,8.5004
TCGA-KM-8441-01,KICH,non-glioma,9.2499
TCGA-KL-8323-01,KICH,non-glioma,9.3925
TCGA-KL-8329-01,KICH,non-glioma,9.3368
TCGA-KL-8325-01,KICH,non-glioma,7.7572
TCGA-KL-8336-01,KICH,non-glioma,8.8996
TCGA-KO-8414-01,KICH,non-glioma,9.4906
TCGA-KL-8331-01,KICH,non-glioma,9.9063
TCGA-KN-8421-01,KICH,non-glioma,9.1299
TCGA-KL-8327-01,KICH,non-glioma,10.7251
TCGA-KN-8433-01,KICH,non-glioma,10.6369
TCGA-KL-8342-01,KICH,non-glioma,10.1374
TCGA-KM-8438-01,KICH,non-glioma,10.2037
TCGA-KL-8330-01,KICH,non-glioma,9.2454
TCGA-KO-8415-01,KICH,non-glioma,10.0704
TCGA-KN-8424-01,KICH,non-glioma,8.7216
TCGA-KN-8437-01,KICH,non-glioma,9.2102
TCGA-KN-8418-01,KICH,non-glioma,9.3166
TCGA-KN-8429-01,KICH,non-glioma,8.5574
TCGA-KL-8334-01,KICH,non-glioma,9.3522
TCGA-KN-8431-01,KICH,non-glioma,9.3989
TCGA-KO-8417-01,KICH,non-glioma,8.3561
TCGA-KN-8422-01,KICH,non-glioma,8.9299
TCGA-KO-8406-01,KICH,non-glioma,9.8797
TCGA-CQ-5332-01,HNSC,non-glioma,9.3452
TCGA-CQ-5334-01,HNSC,non-glioma,8.4484
TCGA-CV-6938-01,HNSC,non-glioma,6.6926
TCGA-CV-A6JM-01,HNSC,non-glioma,8.2139
TCGA-BB-8601-01,HNSC,non-glioma,5.6238
TCGA-BA-4078-01,HNSC,non-glioma,9.4773
TCGA-CR-7376-01,HNSC,non-glioma,9.205
TCGA-CQ-5323-01,HNSC,non-glioma,9.2159
TCGA-T2-A6X2-01,HNSC,non-glioma,8.0509
TCGA-CV-7101-01,HNSC,non-glioma,9.0195
TCGA-UF-A7JF-01,HNSC,non-glioma,11.9373
TCGA-CV-7432-01,HNSC,non-glioma,5.2279
TCGA-CV-A6K2-01,HNSC,non-glioma,9.6948
TCGA-T3-A92N-01,HNSC,non-glioma,9.4571
TCGA-CN-5370-01,HNSC,non-glioma,8.7375
TCGA-CN-6995-01,HNSC,non-glioma,6.9794
TCGA-CR-6492-01,HNSC,non-glioma,9.6969
TCGA-CV-7414-01,HNSC,non-glioma,10.5337
TCGA-CV-A6JE-01,HNSC,non-glioma,12.3299
TCGA-BA-A4IG-01,HNSC,non-glioma,10.7687
TCGA-CQ-6227-01,HNSC,non-glioma,9.5298
TCGA-CV-7437-01,HNSC,non-glioma,6.1198
TCGA-CV-7421-01,HNSC,non-glioma,10.9236
TCGA-IQ-A61H-01,HNSC,non-glioma,9.4848
TCGA-BA-6871-01,HNSC,non-glioma,10.44
TCGA-CN-4741-01,HNSC,non-glioma,10.1719
TCGA-CV-A45W-01,HNSC,non-glioma,9.4055
TCGA-CV-A45Z-01,HNSC,non-glioma,10.2931
TCGA-F7-A622-01,HNSC,non-glioma,10.0988
TCGA-UF-A7J9-01,HNSC,non-glioma,9.83
TCGA-CQ-5333-01,HNSC,non-glioma,10.5493
TCGA-CV-6943-01,HNSC,non-glioma,8.2282
TCGA-CV-7089-01,HNSC,non-glioma,9.9569
TCGA-HD-7831-01,HNSC,non-glioma,8.5647
TCGA-HD-A633-01,HNSC,non-glioma,8.877
TCGA-MT-A7BN-01,HNSC,non-glioma,12.072
TCGA-BB-4225-01,HNSC,non-glioma,10.997
TCGA-CN-4729-01,HNSC,non-glioma,7.3223
TCGA-CN-6023-01,HNSC,non-glioma,8.6944
TCGA-CQ-A4CI-01,HNSC,non-glioma,9.2809
TCGA-D6-6825-01,HNSC,non-glioma,6.9542
TCGA-DQ-5630-01,HNSC,non-glioma,9.6215
TCGA-F7-A624-01,HNSC,non-glioma,10.8406
TCGA-BA-5151-01,HNSC,non-glioma,9.818
TCGA-CV-A460-01,HNSC,non-glioma,10.3764
TCGA-F7-A50I-01,HNSC,non-glioma,8.1525
TCGA-BA-5559-01,HNSC,non-glioma,9.5348
TCGA-CN-4739-01,HNSC,non-glioma,9.5663
TCGA-CN-A49B-01,HNSC,non-glioma,7.2083
TCGA-CR-5250-01,HNSC,non-glioma,9.6929
TCGA-CV-6937-01,HNSC,non-glioma,10.8593
TCGA-D6-A6EN-01,HNSC,non-glioma,11.9977
TCGA-QK-A6IJ-01,HNSC,non-glioma,11.7549
TCGA-UF-A7JD-01,HNSC,non-glioma,11.0657
TCGA-CR-7394-01,HNSC,non-glioma,6.2302
TCGA-F7-A623-01,HNSC,non-glioma,10.2089
TCGA-BA-4074-01,HNSC,non-glioma,8.6572
TCGA-CQ-6220-01,HNSC,non-glioma,9.4744
TCGA-CQ-6223-01,HNSC,non-glioma,9.4996
TCGA-CQ-A4CD-01,HNSC,non-glioma,9.0085
TCGA-CR-6493-01,HNSC,non-glioma,4.3326
TCGA-CR-7386-01,HNSC,non-glioma,8.9344
TCGA-CV-A6JO-01,HNSC,non-glioma,9.4614
TCGA-CV-A6JY-01,HNSC,non-glioma,9.6388
TCGA-D6-6516-01,HNSC,non-glioma,9.0943
TCGA-HD-7754-01,HNSC,non-glioma,9.0584
TCGA-QK-A6IG-01,HNSC,non-glioma,10.245
TCGA-QK-AA3J-01,HNSC,non-glioma,9.6415
TCGA-WA-A7H4-01,HNSC,non-glioma,9.0178
TCGA-BB-4217-01,HNSC,non-glioma,9.4594
TCGA-CN-4726-01,HNSC,non-glioma,6.6086
TCGA-CN-5360-01,HNSC,non-glioma,8.0055
TCGA-CR-6473-01,HNSC,non-glioma,10.0573
TCGA-CR-7402-01,HNSC,non-glioma,8.9997
TCGA-CV-5432-01,HNSC,non-glioma,10.0595
TCGA-CV-6936-01,HNSC,non-glioma,9.6002
TCGA-CV-A6JZ-01,HNSC,non-glioma,8.0285
TCGA-MZ-A6I9-01,HNSC,non-glioma,10.714
TCGA-QK-A8ZB-01,HNSC,non-glioma,8.9622
TCGA-UF-A7JJ-01,HNSC,non-glioma,9.38
TCGA-CN-4723-01,HNSC,non-glioma,9.8668
TCGA-CN-6994-01,HNSC,non-glioma,9.1997
TCGA-CN-A49C-01,HNSC,non-glioma,10.6343
TCGA-CQ-5326-01,HNSC,non-glioma,8.2132
TCGA-CR-7390-01,HNSC,non-glioma,9.2794
TCGA-CV-6935-01,HNSC,non-glioma,6.2312
TCGA-CV-6956-01,HNSC,non-glioma,5.7604
TCGA-CV-7235-01,HNSC,non-glioma,9.4563
TCGA-CV-7424-01,HNSC,non-glioma,10.1942
TCGA-D6-A6EK-01,HNSC,non-glioma,8.6386
TCGA-D6-A74Q-01,HNSC,non-glioma,9.8877
TCGA-P3-A6SX-01,HNSC,non-glioma,8.8964
TCGA-UF-A71A-01,HNSC,non-glioma,10.0215
TCGA-4P-AA8J-01,HNSC,non-glioma,10.7488
TCGA-BB-4227-01,HNSC,non-glioma,9.024
TCGA-CN-6012-01,HNSC,non-glioma,9.389
TCGA-CN-6024-01,HNSC,non-glioma,6.7214
TCGA-CN-6997-01,HNSC,non-glioma,10.2277
TCGA-CR-7364-01,HNSC,non-glioma,9.0005
TCGA-CR-7373-01,HNSC,non-glioma,9.8378
TCGA-CV-5977-01,HNSC,non-glioma,9.256
TCGA-CV-7100-01,HNSC,non-glioma,10.3033
TCGA-DQ-7588-01,HNSC,non-glioma,4.4431
TCGA-QK-A6VB-01,HNSC,non-glioma,9.9092
TCGA-BA-5558-01,HNSC,non-glioma,6.6844
TCGA-BB-A5HZ-01,HNSC,non-glioma,9.0535
TCGA-CQ-5325-01,HNSC,non-glioma,9.6514
TCGA-CQ-6225-01,HNSC,non-glioma,11.0291
TCGA-CV-5436-01,HNSC,non-glioma,11.0098
TCGA-CV-6962-01,HNSC,non-glioma,6.5242000000000004
TCGA-CV-7423-01,HNSC,non-glioma,9.6294
TCGA-CV-A461-01,HNSC,non-glioma,9.6501
TCGA-CV-A6JT-01,HNSC,non-glioma,10.6648
TCGA-CV-A6K1-01,HNSC,non-glioma,11.2451
TCGA-BB-A5HY-01,HNSC,non-glioma,9.2308
TCGA-CN-5355-01,HNSC,non-glioma,9.3105
TCGA-CN-6016-01,HNSC,non-glioma,9.1902
TCGA-CN-6989-01,HNSC,non-glioma,9.5333
TCGA-CR-7401-01,HNSC,non-glioma,8.3437
TCGA-CV-5444-01,HNSC,non-glioma,8.003
TCGA-CV-6950-01,HNSC,non-glioma,6.0771
TCGA-CV-7250-01,HNSC,non-glioma,5.5347
TCGA-CV-7263-01,HNSC,non-glioma,9.2877
TCGA-CV-7434-01,HNSC,non-glioma,9.6035
TCGA-DQ-5629-01,HNSC,non-glioma,10.1488
TCGA-CN-A497-01,HNSC,non-glioma,6.5764
TCGA-CQ-A4C6-01,HNSC,non-glioma,7.8053
TCGA-CV-5443-01,HNSC,non-glioma,10.0578
TCGA-HD-8224-01,HNSC,non-glioma,9.2943
TCGA-IQ-A61I-01,HNSC,non-glioma,11.1633
TCGA-UF-A71E-01,HNSC,non-glioma,10.0068
TCGA-BA-6869-01,HNSC,non-glioma,10.3568
TCGA-BA-A6DI-01,HNSC,non-glioma,7.8312
TCGA-BA-A6DJ-01,HNSC,non-glioma,5.5651
TCGA-CN-4730-01,HNSC,non-glioma,8.7641
TCGA-CR-6482-01,HNSC,non-glioma,9.9351
TCGA-CV-5439-01,HNSC,non-glioma,10.0554
TCGA-CV-6436-01,HNSC,non-glioma,10.3822
TCGA-CV-7245-01,HNSC,non-glioma,9.1084
TCGA-CV-7418-01,HNSC,non-glioma,6.4727
TCGA-D6-8568-01,HNSC,non-glioma,7.3533
TCGA-D6-A6EP-01,HNSC,non-glioma,12.7503
TCGA-DQ-7591-01,HNSC,non-glioma,11.0963
TCGA-F7-A61S-01,HNSC,non-glioma,10.3039
TCGA-HD-7753-01,HNSC,non-glioma,9.4519
TCGA-UF-A718-01,HNSC,non-glioma,9.0774
TCGA-BA-7269-01,HNSC,non-glioma,11.4476
TCGA-CN-4733-01,HNSC,non-glioma,9.4701
TCGA-CN-6019-01,HNSC,non-glioma,9.7799
TCGA-CN-6992-01,HNSC,non-glioma,9.7705
TCGA-CN-A6V3-01,HNSC,non-glioma,9.3781
TCGA-CQ-6229-01,HNSC,non-glioma,9.8808
TCGA-CV-5430-01,HNSC,non-glioma,9.6008
TCGA-CV-6961-01,HNSC,non-glioma,9.2396
TCGA-CV-7410-01,HNSC,non-glioma,9.3152
TCGA-CV-A45Y-01,HNSC,non-glioma,8.2352
TCGA-D6-6824-01,HNSC,non-glioma,9.4848
TCGA-D6-A4ZB-01,HNSC,non-glioma,10.0858
TCGA-QK-A6IF-01,HNSC,non-glioma,8.7218
TCGA-CN-4725-01,HNSC,non-glioma,9.2449
TCGA-CN-5358-01,HNSC,non-glioma,8.9331
TCGA-CN-A49A-01,HNSC,non-glioma,9.7001
TCGA-CN-A63T-01,HNSC,non-glioma,9.7552
TCGA-CR-6491-01,HNSC,non-glioma,9.3472
TCGA-CR-7365-01,HNSC,non-glioma,7.7835
TCGA-CV-5434-01,HNSC,non-glioma,8.7367
TCGA-CV-5971-01,HNSC,non-glioma,9.8719
TCGA-CV-6441-01,HNSC,non-glioma,11.0391
TCGA-CV-6939-01,HNSC,non-glioma,9.7824
TCGA-CV-7415-01,HNSC,non-glioma,7.6593
TCGA-HD-7229-01,HNSC,non-glioma,9.6677
TCGA-QK-A652-01,HNSC,non-glioma,9.0542
TCGA-QK-A8ZA-01,HNSC,non-glioma,9.1695
TCGA-QK-AA3K-01,HNSC,non-glioma,10.0964
TCGA-BA-A4IF-01,HNSC,non-glioma,10.0611
TCGA-BA-A6D8-01,HNSC,non-glioma,12.3512
TCGA-BA-A6DL-01,HNSC,non-glioma,10.1843
TCGA-CN-5359-01,HNSC,non-glioma,9.0416
TCGA-CN-A63V-01,HNSC,non-glioma,10.4375
TCGA-CN-A6V1-01,HNSC,non-glioma,11.3239
TCGA-CN-A6V6-01,HNSC,non-glioma,9.2839
TCGA-CQ-5324-01,HNSC,non-glioma,6.0266
TCGA-CQ-A4CB-01,HNSC,non-glioma,9.2158
TCGA-CR-6467-01,HNSC,non-glioma,9.5969
TCGA-CR-6472-01,HNSC,non-glioma,9.0131
TCGA-CR-7369-01,HNSC,non-glioma,8.7756
TCGA-CV-5970-01,HNSC,non-glioma,9.1322
TCGA-CV-6954-01,HNSC,non-glioma,9.4928
TCGA-CV-A45U-01,HNSC,non-glioma,9.9931
TCGA-D6-6517-01,HNSC,non-glioma,10.0251
TCGA-D6-A4Z9-01,HNSC,non-glioma,8.2197
TCGA-QK-A8Z7-01,HNSC,non-glioma,9.4801
TCGA-TN-A7HL-01,HNSC,non-glioma,11.2883
TCGA-UF-A7JH-01,HNSC,non-glioma,10.6828
TCGA-UF-A7JK-01,HNSC,non-glioma,5.7815
TCGA-UF-A7JS-01,HNSC,non-glioma,9.5601
TCGA-BB-7870-01,HNSC,non-glioma,9.7253
TCGA-CN-6020-01,HNSC,non-glioma,9.0388
TCGA-CQ-A4CH-01,HNSC,non-glioma,9.8816
TCGA-CR-6471-01,HNSC,non-glioma,9.5657
TCGA-CR-7377-01,HNSC,non-glioma,9.4655
TCGA-CR-7380-01,HNSC,non-glioma,9.2293
TCGA-CV-5441-01,HNSC,non-glioma,9.738
TCGA-CV-7253-01,HNSC,non-glioma,10.1186
TCGA-CV-A6K0-01,HNSC,non-glioma,9.2068
TCGA-DQ-7593-01,HNSC,non-glioma,10.0665
TCGA-F7-8298-01,HNSC,non-glioma,9.4559
TCGA-HD-8314-01,HNSC,non-glioma,9.9899
TCGA-RS-A6TP-01,HNSC,non-glioma,10.4185
TCGA-UP-A6WW-01,HNSC,non-glioma,12.1647
TCGA-WA-A7GZ-01,HNSC,non-glioma,8.7635
TCGA-BA-A4IH-01,HNSC,non-glioma,10.2748
TCGA-CN-6011-01,HNSC,non-glioma,8.9101
TCGA-CN-A642-01,HNSC,non-glioma,10.5845
TCGA-CN-A6UY-01,HNSC,non-glioma,12.2655
TCGA-CV-5435-01,HNSC,non-glioma,9.2949
TCGA-CV-6951-01,HNSC,non-glioma,10.1456
TCGA-CV-7261-01,HNSC,non-glioma,9.1852
TCGA-CV-A45O-01,HNSC,non-glioma,5.8118
TCGA-D6-A6EQ-01,HNSC,non-glioma,8.53
TCGA-DQ-7592-01,HNSC,non-glioma,8.9361
TCGA-H7-A76A-01,HNSC,non-glioma,10.8147
